state name,district name,retailer id,agency name,company name,plant name,product name,quantity(mt.)
Andhra Pradesh,Anakapalli,231301,Dadi Dharma Rao Anakapalli,FACT,FACT Udyogmandal,Amm Sulphate,3.6
Andhra Pradesh,Anakapalli,231321,K Satyanarayana Fertilizers Pe,FACT,FACT Udyogmandal,Amm Sulphate,3.15
Andhra Pradesh,Anakapalli,231417,SRI VENKATA DURGA TRADERS,FACT,FACT Udyogmandal,Amm Sulphate,0.55
Andhra Pradesh,Anakapalli,1105064,sri venkata satyanarayana trad,NFL,NFL Import,Imported 15-15-15-9,9.0
Andhra Pradesh,Anakapalli,231422,Sri Venketraju Kirana General ,FACT,FACT Udyogmandal,Amm Sulphate,1.25
Andhra Pradesh,Anakapalli,231438,"T S R Butchiraju, Narsipatnam",FACT,FACT Udyogmandal,Amm Sulphate,11.25
Andhra Pradesh,Anantapur,237074,"Sri Baleswara Fertilisers,Atma",FACT,FACT Udyogmandal,Amm Sulphate,1.7
Andhra Pradesh,Anantapur,237076,Sri Bhavani Fertilizers,FACT,FACT Udyogmandal,Amm Sulphate,7.45
Andhra Pradesh,Anantapur,237046,Sri Guru Agro Agencies,FACT,FACT Udyogmandal,Amm Sulphate,0.0
Andhra Pradesh,Anantapur,250297,Sri Raghavendra Fertilizers,FACT,FACT Udyogmandal,Amm Sulphate,4.05
Andhra Pradesh,Anantapur,237178,Sri Sompalli Traders,FACT,FACT Udyogmandal,Amm Sulphate,1.6
Andhra Pradesh,Anantapur,232872,Venkat Sai Naganandha Traders,FACT,FACT Udyogmandal,Amm Sulphate,11.1
Andhra Pradesh,Annamayya,233255,Agro Rythu Seva Kendram,FACT,FACT Udyogmandal,Amm Sulphate,4.5
Andhra Pradesh,Annamayya,245310,C V BHASKAR REDDY AND SONS,FACT,FACT Udyogmandal,Amm Sulphate,2.0
Andhra Pradesh,Annamayya,233298,Om Namasivaiah Agro Agencies,FACT,FACT Udyogmandal,Amm Sulphate,0.0
Andhra Pradesh,Annamayya,233305,S JAFFER SAHEB AND SONS FERTIL,FACT,FACT Udyogmandal,Amm Sulphate,18.1
Andhra Pradesh,Annamayya,245375,Sri Raghavendra Fertilisers,FACT,FACT Udyogmandal,Amm Sulphate,0.3
Andhra Pradesh,Annamayya,233360,Sri Venkateswara Fertilisers,FACT,FACT Udyogmandal,Amm Sulphate,9.75
Andhra Pradesh,Annamayya,233372,Viswa Prasad Fertilizers,FACT,FACT Udyogmandal,Amm Sulphate,5.5
Andhra Pradesh,Bapatla,666152,ESWAR TRADERS,NFL,NFL Import,Imported Neem Coated Urea(45 Kg),19.125
Andhra Pradesh,Bapatla,1588725,MADDULA RAMANANDARAO,NFL,NFL Import,Imported 15-15-15-9,14.55
Andhra Pradesh,Bapatla,382144,M S Sri Balaji General Stores,NFL,NFL Import,Imported 15-15-15-9,3.2
Andhra Pradesh,Bapatla,301655,Padmavathi Fertilizers and Gene,NFL,NFL Import,Imported 15-15-15-9,3.35
Andhra Pradesh,Bapatla,274335,Sri Padma Fertilisers and Pestic,NFL,NFL Import,Imported DAP,0.1
Andhra Pradesh,Bapatla,273562,Sri Venkateswara Traders,NFL,NFL Import,Imported DAP,0.1
Andhra Pradesh,Chittoor,245393,USHA CHEMICALS AND SEEDS,FACT,FACT Udyogmandal,Amm Sulphate,3.85
Andhra Pradesh,East Godavari,163396,Dcms W.Godavari - Dondapudi Br,FACT,FACT Udyogmandal,Amm Sulphate,4.1
Andhra Pradesh,East Godavari,311862,Dommeru Pacs Ltd,NFL,NFL Import,Imported DAP,6.0
Andhra Pradesh,East Godavari,163452,Pacs Chikkala,FACT,FACT Udyogmandal,Amm Sulphate,4.35
Andhra Pradesh,East Godavari,163584,Pacs Mortha,FACT,FACT Udyogmandal,Amm Sulphate,8.45
Andhra Pradesh,East Godavari,302816,Satyalakshmi  Traders,NFL,NFL Import,Imported Neem Coated Urea(45 Kg),1.71
Andhra Pradesh,East Godavari,311920,Sri Venkateswara Manure Depot,NFL,NFL Import,Imported Neem Coated Urea(45 Kg),7.545
Andhra Pradesh,East Godavari,552282,The WGDcms Ltd,NFL,NFL Import,Imported DAP,18.65
Andhra Pradesh,Eluru,163412,Lscs Munduru,NFL,NFL Import,Imported Neem Coated Urea(45 Kg),25.2
Andhra Pradesh,Eluru,132346,Pacs Chigurukota,NFL,NFL Import,Imported DAP,5.0
Andhra Pradesh,Eluru,163646,Pacs Sanivarapeta,NFL,NFL Import,Imported Neem Coated Urea(45 Kg),13.59
Andhra Pradesh,Guntur,444422,Ankamma Talli Fertilizers,NFL,NFL Import,Imported Neem Coated Urea(45 Kg),16.65
Andhra Pradesh,Guntur,1379367,Kollipara Krishi Vignan FPO,NFL,NFL Import,Imported Neem Coated Urea(45 Kg),0.0
Andhra Pradesh,Konaseema,301505,Vijayalakshmi Agencies,NFL,NFL Import,Imported Neem Coated Urea(45 Kg),0.0
Andhra Pradesh,Krishna,132590,Pacs Mudunuru,NFL,NFL Import,Imported DAP,0.65
Andhra Pradesh,Krishna,479441,Penamaluru Fertilizers and Pesti,NFL,NFL Import,Imported 15-15-15-9,3.45
Andhra Pradesh,Krishna,1548499,RYTHU MITHRA AGRO TRADERS,NFL,NFL Import,Imported 15-15-15-9,3.7
Andhra Pradesh,Kurnool,295214,Sri Lakshmi Venkateswara Tra,FACT,FACT Udyogmandal,Amm Sulphate,3.65
Andhra Pradesh,Kurnool,140122,Surya Traders,FACT,FACT Udyogmandal,Amm Sulphate,13.0
Andhra Pradesh,Nandyal,282287,"Mallikarjuna Ferts and Pests, Dh",FACT,FACT Udyogmandal,Amm Sulphate,6.7
Andhra Pradesh,NTR,232892,Chalavadi Fertilizers,FACT,FACT Udyogmandal,Amm Sulphate,2.7
Andhra Pradesh,NTR,232949,Nalla Gandhi Ferts and Pesticide,FACT,FACT Udyogmandal,Amm Sulphate,14.75
Andhra Pradesh,NTR,532716,Padmasri Fertilisers,NFL,NFL Import,Imported 15-15-15-9,1.95
Andhra Pradesh,NTR,232966,Ramanjaneya Enterprises,FACT,FACT Udyogmandal,Amm Sulphate,3.75
